,title,rating
0,28 Days Later...,7.18
1,A Time to Kill,7.92
2,Anomalisa,7.5
3,Central Intelligence,6.88
4,Dead Poets Society,8.33
5,Detachment,8.14
6,Dial M for Murder,8.12
7,Dog Day Afternoon,8.6
8,El cuerpo,8.44
9,Everest,7.05
10,Everybody Wants Some!!,6.88
11,Garden State,8.67
12,God Bless America,7.5
13,Heaven Is for Real,6.12
14,Hitman: Agent 47,5.5
15,House at the End of the Street,6.07
16,I Spit on Your Grave 2,6.23
17,Intouchables,8.93
18,JÃ»san-nin no shikaku,8.0
19,Love Actually,8.0
20,Macbeth,7.17
21,Madagascar 3: Europe's Most Wanted,6.67
22,Maleficent,7.54
23,Man on Fire,8.44
24,Maps to the Stars,5.69
25,Me Before You,7.59
26,Mrs. Doubtfire,8.5
27,Much Ado About Nothing,7.55
28,Neighbors 2: Sorority Rising,5.35
29,Non-Stop,7.23
30,P.S. I Love You,6.5
31,Paul Blart: Mall Cop 2,5.6
32,Pitch Perfect 2,7.27
33,Poltergeist,8.33
34,Real Steel,8.2
35,Shaun the Sheep Movie,7.21
36,Sightseers,6.67
37,Sunshine,7.5
38,Texas Chainsaw 3D,5.19
39,The End of the Tour,8.25
40,The Life of David Gale,8.4
41,To the Wonder,4.8
42,Tower Heist,5.33
43,Tyler Perry's Temptation,5.0
44,Vaiana,8.0
45,War of the Worlds,8.33
46,Welcome to Me,6.0
47,Why Him?,6.36
48,Wreck-It Ralph,7.83
